Municipality,Year, Total_Personal_Vehicles,#_of_EVs
Newark city,2020,"92,490",141
Jersey City city,2020,"88,454",737
Jersey City city,2015,"81,724",49
Newark city,2015,"79,073",20
Toms River township,2020,"64,822",291
Toms River township,2015,"61,597",27
Edison township,2015,"60,480",47
Hamilton township,2020,"60,294",256
Edison township,2020,"59,239",690
Woodbridge township,2020,"59,139",278
Hamilton township,2015,"58,255",32
Woodbridge township,2015,"57,597",26
Brick township,2020,"55,314",181
Brick township,2015,"53,207",38
Elizabeth city,2020,"51,731",85
Cherry Hill township,2020,"49,528",531
Clifton city,2020,"49,029",197
Paterson city,2020,"48,712",67
Middletown township,2020,"46,745",233
Cherry Hill township,2015,"46,741",59
Middletown township,2015,"45,668",32
Elizabeth city,2015,"45,271",3
Clifton city,2015,"45,145",18
Old Bridge township,2020,"44,998",234
Paterson city,2015,"43,819",7
Franklin township,2020,"42,932",383
Old Bridge township,2015,"42,870",20
Gloucester township,2015,"41,195",23
Gloucester township,2020,"40,581",125
Jackson township,2020,"40,229",189
Franklin township,2015,"40,227",41
Jackson township,2015,"38,627",21
Vineland city,2020,"37,321",102
Union township,2020,"37,148",109
Howell township,2020,"35,755",177
Wayne township,2020,"35,517",232
Howell township,2015,"34,798",19
Lakewood township,2020,"34,782",421
Parsippany-Troy Hills township,2015,"34,684",29
Wayne township,2015,"34,528",19
Parsippany-Troy Hills township,2020,"34,525",315
Vineland city,2015,"34,378",14
Union township,2015,"34,244",9
Lakewood township,2015,"33,720",6
Washington township,2020,"33,559",142
Evesham township,2020,"33,027",204
East Brunswick township,2020,"32,528",373
Monroe township,2020,"32,072",491
Evesham township,2015,"31,935",24
Trenton city,2020,"31,840",69
Washington township,2015,"31,718",18
East Brunswick township,2015,"31,289",27
Berkeley township,2020,"31,161",98
Manchester township,2020,"31,152",71
Mount Laurel township,2020,"30,924",228
Manchester township,2015,"30,775",14
Bridgewater township,2020,"30,647",340
Bayonne city,2015,"30,262",10
Bayonne city,2020,"30,135",89
Piscataway township,2015,"30,116",26
Piscataway township,2020,"29,930",279
South Brunswick township,2020,"29,797",512
Berkeley township,2015,"29,667",11
Trenton city,2015,"29,482",8
Mount Laurel township,2015,"29,434",26
Bridgewater township,2015,"29,384",19
South Brunswick township,2015,"29,344",49
Sayreville borough,2020,"29,313",143
Monroe township,2015,"28,818",41
Bloomfield township,2020,"28,742",156
Egg Harbor township,2020,"28,220",142
Sayreville borough,2015,"27,715",9
Hillsborough township,2020,"27,697",337
Manalapan township,2020,"27,480",249
Marlboro township,2020,"27,464",414
Egg Harbor township,2015,"27,423",20
West Orange township,2020,"27,309",254
West Orange township,2015,"27,101",21
Marlboro township,2015,"27,015",32
Manalapan township,2015,"26,959",22
Bloomfield township,2015,"26,640",24
Hillsborough township,2015,"26,430",30
North Bergen township,2020,"25,912",94
North Bergen township,2015,"25,672",8
Monroe township,2020,"25,618",82
Camden city,2020,"25,563",14
North Brunswick township,2015,"24,907",19
Winslow township,2020,"24,874",105
Linden city,2020,"24,492",70
East Orange city,2015,"24,470",7
Winslow township,2015,"24,412",17
North Brunswick township,2020,"24,070",204
East Orange city,2020,"23,862",24
Freehold township,2020,"23,664",128
Hackensack city,2020,"23,567",90
Monroe township,2015,"23,516",13
