Municipality,Year,Res_Electricity_EE,Total_Electricity,Res_Natural_Gas_EE,Total_Natural_Gas
Aberdeen township,2015,"58,511,214","91,769,686","5,298,920","5,298,920"
Aberdeen township,2020,"59,539,032","88,617,776","4,952,832","4,952,832"
Absecon city,2015,"37,043,312","37,043,312","2,739,186","2,739,186"
Absecon city,2020,"34,737,469","34,737,469","2,498,445","2,498,445"
Alexandria township,2020,"24,097,340","28,549,063",NDA,0
Alexandria township,2015,"23,711,407","29,779,081",NDA,0
Allamuchy township,2020,"20,289,839","27,267,221","2,392,457","2,392,457"
Allamuchy township,2015,"20,730,321","28,642,269","1,423,922","1,423,922"
Allendale borough,2015,"28,346,006","57,684,262","3,623,971","3,623,971"
Allendale borough,2020,"28,392,440","54,627,125","3,385,514","3,385,514"
Allenhurst borough,2015,"4,924,969","10,481,597","570,346","570,346"
Allenhurst borough,2020,"5,876,198","8,200,942","516,095","516,095"
Allentown borough,2015,"6,813,249","12,613,018","581,781","581,781"
Allentown borough,2020,"6,653,337","11,428,357","511,123","511,123"
Alloway township,2020,"11,262,278","11,262,278","13,257","13,257"
Alloway township,2015,"12,836,529","12,836,529","5,930","5,930"
Alpha borough,2020,"8,418,490","27,593,378","678,291","678,291"
Alpha borough,2015,"8,296,432","27,495,406","370,134","370,134"
Alpine borough,2015,"20,969,468","20,969,468","2,374,623","2,374,623"
Alpine borough,2020,"20,250,252","25,366,388","2,185,929","2,185,929"
Andover borough,2020,"3,151,387","5,661,592",NDA,0
Andover borough,2015,"3,079,803","5,844,877",NDA,0
Andover township,2020,"26,313,608","38,702,659","444,775","444,775"
Andover township,2015,"26,779,192","41,174,833","241,574","241,574"
Asbury Park city,2015,"35,569,874","98,027,061","3,358,743","3,358,743"
Asbury Park city,2020,"37,662,168","99,105,519","2,500,735","2,500,735"
Atlantic City city,2015,"86,034,398","86,034,398","7,092,311","7,092,311"
Atlantic City city,2020,"84,330,462","84,330,462","6,018,090","6,018,090"
Atlantic Highlands borough,2020,"18,621,512","29,235,068","26,745,606","26,745,606"
Atlantic Highlands borough,2015,"19,079,600","30,667,865","1,832,611","1,832,611"
Audubon borough,2015,"29,658,636","54,579,369","2,643,585","2,643,585"
Audubon borough,2020,"29,367,624","52,957,455","2,326,222","2,326,222"
Audubon Park borough,2015,NDA,"2,516",NDA,0
Audubon Park borough,2020,NDA,"2,517",NDA,0
Avalon borough,2015,"45,374,229","45,374,229","2,938,508","2,938,508"
Avalon borough,2020,"51,298,904","51,298,904","2,825,477","2,825,477"
Avon-by-the-Sea borough,2015,"9,129,031","12,688,398","1,004,215","1,004,215"
Avon-by-the-Sea borough,2020,"9,745,025","12,653,195","886,760","886,760"
Barnegat Light borough,2020,"8,886,798","8,886,798","494,330","494,330"
Barnegat Light borough,2015,"8,410,148","8,410,148","483,884","483,884"
Barnegat township,2020,"91,170,458","119,748,314","7,571,289","7,571,289"
Barnegat township,2015,"90,430,459","130,354,213","6,968,844","6,968,844"
Barrington borough,2015,"23,285,756","44,450,199","1,753,656","1,753,656"
Barrington borough,2020,"23,008,191","43,206,995","1,531,148","1,531,148"
Bass River township,2020,"5,286,017","5,286,017","5,156,719","5,156,719"
Bass River township,2015,"6,209,917","6,209,917","35,573","35,573"
Bay Head borough,2015,"9,310,200","18,313,093","986,214","986,214"
Bay Head borough,2020,"10,757,738","20,452,610","929,527","929,527"
Bayonne city,2015,"144,021,980","340,795,801","16,028,881","16,028,881"
Bayonne city,2020,"148,912,425","348,527,977","14,658,643","14,658,643"
Beach Haven borough,2020,"35,437,136","35,437,136","5,735,920","5,735,920"
Beach Haven borough,2015,"31,330,394","31,330,394","4,015,734","4,015,734"
Beachwood borough,2020,"36,701,859","43,382,315","3,060,168","3,060,168"
Beachwood borough,2015,"38,119,804","45,534,760","2,765,044","2,765,044"
Bedminster township,2015,"35,533,244","121,056,117","2,435,230","2,435,230"
Bedminster township,2020,"32,153,525","104,748,657","2,047,687","2,047,687"
Belleville township,2015,"85,396,024","168,636,745","9,354,901","9,354,901"
Belleville township,2020,"86,045,467","162,397,223","8,735,957","8,735,957"
Bellmawr borough,2015,"37,077,187","95,917,244","2,964,220","2,964,220"
Bellmawr borough,2020,"35,819,381","99,253,597","2,572,545","2,572,545"
Belmar borough,2015,"25,102,315","43,907,866","2,288,819","2,288,819"
Belmar borough,2020,"26,116,057","42,920,007","2,060,301","2,060,301"
Belvidere town,2020,"10,442,555","63,508,085","393,685","393,685"
Belvidere town,2015,"10,708,059","26,682,664","168,162","168,162"
Bergenfield borough,2015,"69,399,008","104,239,582","7,996,343","7,996,343"
Bergenfield borough,2020,"69,714,154","97,622,164","6,997,191","6,997,191"
Berkeley heights township,2015,"45,279,710","197,831,567","5,374,061","5,374,061"
Berkeley heights township,2020,"44,540,918","142,205,609","4,827,906","4,827,906"
Berkeley township,2015,"166,154,977","236,042,436","17,199,365","17,199,365"
Berkeley township,2020,"163,915,258","237,520,568","2,086,597","2,086,597"
Berlin borough,2015,"42,414,229","42,414,229","2,827,050","2,827,050"
Berlin borough,2020,"38,732,969","38,732,969","2,466,146","2,466,146"
Berlin township,2015,"25,968,780","25,968,780","1,240,392","1,240,392"
Berlin township,2020,"24,369,421","24,369,421","1,229,278","1,229,278"
