Municipality,Year,Res_Electricity_GHG,Res_Natural_Gas_GHG,On_Road_Vehicles,Total_MTCO2e
Linden city,2015,"25,447","48,727","162,024","236,198"
Newark city,2015,"120,168","322,453","1,024,969","1,467,589"
Newark city,2020,"114,156","302,925","1,194,028","1,611,109"
Ridgefield borough,2015,"7,288","18,917","34,297","60,502"
Woodbridge Township,2020,"57,838","201,762","522,893","782,493"
Jersey City city ,2015,"138,080","256,370","861,958","1,256,408"
Linden city,2020,"22,114","86,958","198,088","307,160"
Toms River township,2020,"85,512","8,099","372,793","466,404"
Jersey City city ,2020,"137,670","229,644","573,525","940,838"
Edison township,2020,"56,215","181,462","623,144","860,821"
Elizabeth city,2020,"53,494","214,180","587,312","854,986"
Edison township,2015,"65,847","134,859","548,751","749,457"
Elizabeth city,2015,"58,657","121,165","548,855","728,677"
Paterson city,2020,"64,104","182,398","418,553","665,055"
Ridgefield borough,2020,"6,323","17,275","55,798","79,397"
Woodbridge Township,2015,"65,770","109,972","423,195","598,938"
Atlantic City city,2015,"21,791","37,775","119,473","179,038"
Paterson city,2015,"69,005","196,618","291,080","556,703"
Bayonne city,2015,"36,477","85,372","152,759","274,609"
Piscataway township,2020,"29,181","63,428","350,118","442,727"
Hamilton township,2020,"64,016","120,684","421,795","606,494"
Hamilton township,2015,"74,862","134,723","333,464","543,049"
Atlantic City city,2020,"18,831","32,053","143,133","194,018"
Piscataway township,2015,"33,381","68,815","277,775","379,971"
Trenton city,2015,"44,841","122,750","299,420","467,011"
Lakewood township,2020,"75,702","102,678","278,906","457,286"
Cherry Hill township,2020,"57,607","103,713","370,117","531,437"
Cherry Hill township,2015,"68,180","122,002","312,130","502,312"
Camden city,2015,"39,458","91,986","178,878","310,322"
Clifton city,2020,"47,131","125,596","347,034","519,760"
Franklin township,2020,"44,307","98,342","322,086","464,735"
Trenton city,2020,"41,315","112,827","328,088","482,231"
Parsippany-Troy Hills township,2020,"33,885","65,427","411,389","510,701"
Toms River township,2015,"96,948","160,338","267,921","525,207"
Lakewood township,2015,"73,071","90,138","195,245","358,454"
Perth Amboy city,2015,"24,751","50,797","123,768","199,316"
Parsippany-Troy Hills township,2015,"39,847","67,588","322,917","430,352"
Vineland City,2015,"1,957","74,332","234,256","310,545"
Franklin township,2015,"50,402","108,057","254,553","413,012"
Union township,2020,"32,422","134,367","297,998","464,787"
Camden city,2020,"36,316","76,087","234,194","346,597"
Sayreville borough,2020,"27,743","62,490","182,947","273,180"
Clifton city,2015,"53,947","141,618","220,883","416,449"
New Brunswick city,2015,"22,529","45,539","199,147","267,216"
Bridgewater township,2020,"33,965","77,988","277,551","389,504"
Sayreville borough,2015,"32,349","72,301","127,129","231,779"
Vineland City,2020,"1,513","64,979","240,051","306,543"
Wayne township,2020,"41,334","101,960","308,288","451,582"
New Brunswick city,2020,"19,957","39,914","240,723","300,594"
Wayne township,2015,"48,521","112,372","242,496","403,389"
Bridgewater township,2015,"39,568","88,007","224,371","351,946"
Paulsboro borough,2015,"5,702","5,394","18,444","29,540"
Gloucester township,2015,"46,622","81,242","207,755","335,619"
South Brunswick township,2015,"34,184","74,727","227,478","336,389"
Gloucester township,2020,"38,266","70,553","248,639","357,458"
Paramus borough,2020,"19,717","52,512","356,348","428,576"
South Brunswick township,2020,"29,714","69,879","244,681","344,273"
Perth Amboy city,2020,"22,614","92,588","160,243","275,445"
Hackensack city,2020,"25,989","30,860","304,122","360,970"
Secaucus town,2015,"13,956","24,755","254,228","292,939"
Galloway township,2020,"24,415","45,109","157,214","226,738"
